Model,Compare_mode,N_real,N_compare,KS_mean,Wasserstein_mean,JSD_mean,KS_PTB,Wasserstein_PTB,JSD_PTB,Mean_|Δr|,MMD
Full model,generated_only,57,283,0.1113797450044428,9.794047874023825,0.14644226207802472,0.09999380075630773,1.0732641354000922,0.12116073137854891,0.06719927779226609,0.003119697849721881
CTGAN,generated_only,57,283,0.2713891127504667,63.71696259106156,0.20483461610927547,0.15653090322980595,1.4381048705808268,0.14234219385803576,0.34219838583205786,0.09163493046076998
TVAE,generated_only,57,283,0.149808167847967,31.333392630553405,0.15447370145134087,0.1423966276114314,1.6308740469284773,0.11464155893220418,0.13196209286612082,0.020029317285083392
GReaT,generated_only,57,283,0.12990859559578177,10.735085239222803,0.13273464174130925,0.11146240158700639,1.4476158227844267,0.1378611878512585,0.13625667116867637,0.01348094879337225
w/o conditional node,generated_only,57,283,0.10613105201165457,9.243243059589071,0.14807287523149626,0.08939309404252681,0.9466904427127132,0.12175503726399985,0.061547471002116105,0.003443058104603214
w/o graph module,generated_only,57,283,0.14401531901996845,10.73044475092562,0.17982500126779438,0.16378401834976133,1.5136298115835345,0.17068817068556857,0.13386064740818474,0.007222928816363883
w/o learnable adjacency,generated_only,57,283,0.12439126870966187,12.329818994087795,0.14543498391290124,0.08232595623333953,0.8206056953474163,0.1292943440618604,0.07309888416386127,0.005016510787219319
w/o node-level loss,generated_only,57,283,0.11249560886905131,12.643324178427603,0.147929737620295,0.1262785940115306,1.2768620405362094,0.13310291870777985,0.1061584669063643,0.004564286486743674
